treatment,bin,n,mean_reasoning_profit_orientation,mean_average_markup,sem_average_markup,x_min,x_max
tarj_compliance,0,22,-0.055206189573221744,1.1593749999999998,0.017253680960127943,-0.0825247407127341,-0.0438402947603039
tarj_compliance,1,22,-0.03548394293603371,1.1437499999999998,0.018087439935089853,-0.0434054874674507,-0.0308112588938028
tarj_compliance,2,22,-0.023546874692421536,1.1367424242424242,0.0142816569760925,-0.0291033726569162,-0.0185801084976975
tarj_compliance,3,22,-0.014049714436907924,1.1425189393939394,0.015099016755838482,-0.0178153974050946,-0.0102016372637073
tarj_compliance,4,21,-0.005495512098575128,1.1387896825396824,0.013198471756780697,-0.0099423085955762,-0.0026389110399155
tarj_compliance,5,22,0.0022542655917189634,1.15625,0.012074902517340289,-0.0025204824159947,0.0067182311731193
tarj_compliance,6,22,0.01217406219079329,1.137405303030303,0.016251408988619924,0.0068475979361789,0.0192961458400007
tarj_compliance,7,22,0.032828145791818156,1.1399621212121211,0.015149316669504665,0.019548814054012,0.0479850275471152
tarj_balanced_profit_compliance,0,22,-0.022707707782596072,1.658806818181818,0.058497040792302814,-0.0502268916782497,-0.0074902635779883
tarj_balanced_profit_compliance,1,22,0.0012764576993866228,1.5989583333333335,0.04660465975271342,-0.0065086755868417,0.006124332577762
tarj_balanced_profit_compliance,2,22,0.013164212181200653,1.5845643939393943,0.044573828716680725,0.0065814158971743,0.018945708123532
tarj_balanced_profit_compliance,3,22,0.024090172614913752,1.6260416666666666,0.04472344968088695,0.019067361324373,0.029394741276881
tarj_balanced_profit_compliance,4,21,0.03329149824531423,1.5350198412698413,0.05179894961013231,0.0296608827579398,0.0381438242653063
tarj_balanced_profit_compliance,5,22,0.04344867798259364,1.6267992424242428,0.04077654363620624,0.0382203177887029,0.0476438978241813
tarj_balanced_profit_compliance,6,22,0.057437279450056986,1.5612689393939396,0.05236874523748171,0.0478238706906651,0.0633777726245377
tarj_balanced_profit_compliance,7,22,0.07365484681713232,1.5321022727272726,0.042653285426688316,0.0635381912888163,0.086950674488806
tarj_guided_profit,0,22,0.010504871258577365,1.834943181818182,0.1120423635655563,-0.0335568939235303,0.0286280608075039
tarj_guided_profit,1,22,0.03491130887998067,2.014583333333333,0.08256181455553908,0.0287615607878822,0.041034471604275
tarj_guided_profit,2,22,0.0461272246879259,2.1285984848484847,0.11140635224149473,0.0425181442496302,0.0505365685877293
tarj_guided_profit,3,22,0.054343663021614086,2.031344696969697,0.10333010737404028,0.0508499867606601,0.058122409275287
tarj_guided_profit,4,21,0.06197945815398983,1.8605158730158733,0.1017860382045652,0.0592581515851639,0.0650842580695715
tarj_guided_profit,5,22,0.07038575810910895,1.9202651515151514,0.07135847767680108,0.0658476841226524,0.0753379484388135
tarj_guided_profit,6,22,0.08008198274991077,1.784469696969697,0.060701288709397914,0.0754234589683999,0.0860240118121737
tarj_guided_profit,7,22,0.09887675208007213,1.7741477272727273,0.05185405143928425,0.0864024479320452,0.13539799862014
tarj_default,0,22,0.01764859813897063,1.45,0.13760811427993852,-0.0310166776458009,0.0396931190940996
tarj_default,1,22,0.04770405363568948,2.0634469696969697,0.1158995412414406,0.0404815162365985,0.0528543643208641
tarj_default,2,22,0.056861985761292866,2.17282196969697,0.28099577245408647,0.0539719404299382,0.0598262968573587
tarj_default,3,22,0.0633671700193018,2.0578598484848487,0.11971432990591954,0.0600774724134332,0.0666194680592169
tarj_default,4,21,0.0704254726779352,1.9991071428571427,0.13383945447748186,0.0676265479891174,0.0737072834053576
tarj_default,5,22,0.07691864199739215,1.7013257575757577,0.08878291294491963,0.0741444263976566,0.0808762591992937
tarj_default,6,22,0.08656121245308367,1.8258522727272728,0.13499418354693982,0.081581346393625,0.0923920596959208
tarj_default,7,22,0.10591861558782946,1.8001893939393938,0.15221490762046438,0.0925273973738836,0.1274483769411479
tarj_profit_max,0,22,0.022814368168635076,3.259185606060606,0.4872808345711685,8.758371066652781e-05,0.0371206212629969
tarj_profit_max,1,22,0.042367150041129155,2.3509469696969694,0.15203086273342148,0.0375640842870111,0.048669925141271
tarj_profit_max,2,22,0.05335425016015733,2.366477272727273,0.1191261281037888,0.0487356165528202,0.0581116219478889
tarj_profit_max,3,22,0.06209191325231946,2.3731060606060606,0.18273177438613344,0.0581154551038646,0.0674879366992996
tarj_profit_max,4,21,0.07109311370342783,2.175694444444445,0.13292365861260153,0.0678545645275234,0.0748726856251342
tarj_profit_max,5,22,0.0779683013026826,2.331060606060606,0.1588495816166366,0.0749789713095165,0.0811215200580634
tarj_profit_max,6,22,0.08515938925950266,1.8981060606060607,0.11286948879203322,0.0813623801012773,0.0893239808605245
tarj_profit_max,7,22,0.10246581676460581,2.291003787878788,0.18111297639200438,0.0902184836128059,0.1448522532726461
tarj_aggressive_profit_max,0,22,0.036287149543868996,2.5890151515151514,0.09147524675172485,0.0151824597305835,0.0448982108096845
tarj_aggressive_profit_max,1,22,0.04961110151502597,2.5210227272727272,0.11004251225240366,0.0460119172417422,0.0531526655024219
tarj_aggressive_profit_max,2,22,0.05620228439746451,2.6412878787878786,0.1554933360022341,0.0533349140765281,0.0596165989763984
tarj_aggressive_profit_max,3,22,0.06268919710154602,2.891666666666667,0.17147509940574376,0.0596715685875955,0.0663409240613666
tarj_aggressive_profit_max,4,21,0.0686328000509093,2.871825396825397,0.17667995718808308,0.0663833832016718,0.071944851284085
tarj_aggressive_profit_max,5,22,0.07547067262900867,2.6157196969696965,0.0878963280033626,0.0720161098621624,0.0795342364139156
tarj_aggressive_profit_max,6,22,0.08384286148116121,2.822064393939394,0.12940890297590404,0.0796886333349662,0.0898477399784675
tarj_aggressive_profit_max,7,22,0.102899336837441,2.656155303030303,0.14014858554765414,0.0907703705507217,0.1229230572223845
